,Id,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age,distance below 30k km,new and less used,inv_car_price,inv_car_dist,inv_car_age,inv_brand,std_invprice,std_invdistance_travelled,std_invrank,best_buy1,best_buy2
69,69,2020,MINI,MINI Countryman Cooper S [2020-2021],Countryman,3850000.0,6517.0,Petrol,Dehradun,39,1.0,1,1,2.5974025974025974e-07,0.00015344483658124905,1.0,0.02564102564102564,0.01203322723391041,0.053286262666643915,0.013461538461538462,8.631615288067197,8.631615288067197
70,70,2014,Mercedes-Benz,Mercedes-Benz C-Class C 200 Avantgarde,C-Class,2700000.0,22000.0,Petrol,Dehradun,2,7.0,1,0,3.7037037037037036e-07,4.545454545454545e-05,0.14285714285714285,0.5,0.0189771325552709,0.015472908020239115,0.49375,144.98051684207348,0.0
71,71,2017,Mercedes-Benz,Mercedes-Benz C-Class C 220 CDI Avantgarde,C-Class,2900000.0,44000.0,Diesel,Dehradun,2,4.0,0,0,3.4482758620689656e-07,2.2727272727272726e-05,0.25,0.5,0.017373892046291115,0.007514836837954674,0.49375,64.46496970925737,0.0
72,72,2018,Audi,Audi A6 35 TDI Matrix,A6,3750000.0,22000.0,Diesel,Dehradun,10,3.0,1,1,2.6666666666666667e-07,4.545454545454545e-05,0.3333333333333333,0.1,0.01246797608881298,0.015472908020239115,0.08875000000000001,17.12128144084102,17.12128144084102
73,73,2015,BMW,BMW 7 Series 730Ld Eminence,7,3700000.0,66000.0,Diesel,Dehradun,4,6.0,0,0,2.702702702702703e-07,1.5151515151515151e-05,0.16666666666666666,0.25,0.012694162993052833,0.0048621464438598615,0.240625,14.85158661872686,0.0
74,74,2015,BMW,BMW 7 Series 730Ld Prestige,7,3700000.0,48000.0,Diesel,Dehradun,4,6.0,0,0,2.702702702702703e-07,2.0833333333333333e-05,0.16666666666666666,0.25,0.012694162993052833,0.006851664239430971,0.240625,20.92863432010508,0.0
75,75,2013,BMW,BMW 7 Series 730Ld Sedan,7,2900000.0,59000.0,Diesel,Dehradun,4,8.0,0,0,3.4482758620689656e-07,1.694915254237288e-05,0.125,0.25,0.017373892046291115,0.005491598401780664,0.240625,22.958136594210625,0.0
76,76,2012,Land Rover,Land Rover Range Rover Evoque Prestige SD4,Evoque,1900000.0,127000.0,Diesel,Dehradun,18,9.0,0,0,5.263157894736842e-07,7.874015748031496e-06,0.1111111111111111,0.05555555555555555,0.02876533776798957,0.0023138926794538197,0.04375,2.91199582114733,0.0
77,77,2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4900000.0,19500.0,Diesel,Dehradun,18,3.0,1,1,2.0408163265306121e-07,5.128205128205128e-05,0.3333333333333333,0.05555555555555555,0.008539709649871904,0.01751343909261974,0.04375,6.543236210948878,6.543236210948878
78,78,2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4800000.0,29500.0,Diesel,Dehradun,18,3.0,1,1,2.0833333333333333e-07,3.389830508474576e-05,0.3333333333333333,0.05555555555555555,0.0088065755764304,0.011426431147891094,0.04375,4.402463164434181,4.402463164434181
